Full Path,URL,Size
Resources/3rd Year/6th semester/ML/Book/ESLII_Machine Learning.pdf,https://drive.google.com/file/d/1Y4WlirMTCUL7ODxSn1NnGGcHiF-FLJlP/view?usp=drivesdk,21137.0546875
Resources/3rd Year/6th semester/ML/Book/Book_M Gopal - Applied Machine Learning-McGraw Hill Education (India) Pvt Ltd (2018).pdf,https://drive.google.com/file/d/1hBEg5nfpjbZo1nH4ms9A9SHom_iYJ-UX/view?usp=drivesdk,17825.9833984375
Resources/3rd Year/6th semester/ML/Notes,,
Resources/3rd Year/6th semester/ML/Notes/ERROR and Confusion Matrix.pptx,https://drive.google.com/file/d/1kNZmYvOlMHpYW9AZevnHi3aHtLiF2SUq/view?usp=drivesdk,2125.33984375
Resources/3rd Year/6th semester/ML/Notes/W1_INTRODUCTION TO ML.pdf,https://drive.google.com/file/d/1zNUNkuFGVrI_2DWjYjmIkyvUV7HI6UKi/view?usp=drivesdk,1483.0146484375
Resources/3rd Year/6th semester/ML/Notes/W2_FUNDAMENTALS OF LEARNING.pdf,https://drive.google.com/file/d/1jWSeVfBVJdl1w9AIu-T1btRJqRiXaVVD/view?usp=drivesdk,999.94140625
Resources/3rd Year/6th semester/ML/Notes/W3_LINEAR MODEL - LINEAR REGRESSION.pdf,https://drive.google.com/file/d/1YAGG6OZBfRqo1O0Q730QhLyudCP-M629/view?usp=drivesdk,639.2060546875
Resources/3rd Year/6th semester/ML/Notes/W4_GENERALISATION.pdf,https://drive.google.com/file/d/1UceQHoKNIk5p4JgHdz87DP6Ae-4yrkcE/view?usp=drivesdk,512.4794921875
Resources/3rd Year/6th semester/ML/PPTs,,
Resources/3rd Year/6th semester/ML/PPTs/15. ANN Design.pdf,https://drive.google.com/file/d/1ZMrE8RpsKDl3wyVUiFzEqmVLp1RnSBIo/view?usp=drivesdk,1748.494140625
Resources/3rd Year/6th semester/ML/PPTs/8. Decision Tree Numerical.pdf,https://drive.google.com/file/d/1SVEd_-bnt3zP98FYdh1PybDTWzA8TZYY/view?usp=drivesdk,2484.45703125
Resources/3rd Year/6th semester/ML/PPTs/14. ANN.pdf,https://drive.google.com/file/d/1tTedo5drE8_vI6R08cLLbifGmEHggt6v/view?usp=drivesdk,2558.62109375
Resources/3rd Year/6th semester/ML/PPTs/16. BayesianClassifier.pdf,https://drive.google.com/file/d/1lEt7M4iwGSzamhVBCuhMYi6zLv0UVeo-/view?usp=drivesdk,12669.9716796875
Resources/3rd Year/6th semester/ML/PPTs/7. Decision Tree presentation.pdf,https://drive.google.com/file/d/1kkIQjeC6PhbImA2_8OTnxYSdCgRB2lY4/view?usp=drivesdk,34475.68359375
Resources/3rd Year/6th semester/ML/PPTs/12. PCA.pdf,https://drive.google.com/file/d/1VK_iFeb7z1ELRnU25mAhC8x2JeIdHnsD/view?usp=drivesdk,24310.7041015625
Resources/3rd Year/6th semester/ML/PPTs/13. SupportVectorMachine.pdf,https://drive.google.com/file/d/1hLXhvtoghk8zDwIJAqrN39mKRWfHBqqc/view?usp=drivesdk,1478.6650390625
Resources/3rd Year/6th semester/ML/PPTs/11. Random forest.pdf,https://drive.google.com/file/d/1JOByI7XMoaY8lXetXIXEJbMrErro0_ua/view?usp=drivesdk,37084.1474609375
Resources/3rd Year/6th semester/ML/PPTs/6. Classifiaction 2.pptx,https://docs.google.com/presentation/d/1pRlTajOMN2sCVGsZP2m9OGW_iH6UMNyj/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,20019.5654296875
Resources/3rd Year/6th semester/ML/PPTs/1. Intro.ppt,https://docs.google.com/presentation/d/1XdrezrdmSeoPu3xpT3o0CkUegKjaRrON/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,651.0
Resources/3rd Year/6th semester/ML/PPTs/10. Logistic regression.pptx,https://docs.google.com/presentation/d/1c51o36dDDf5jJ5rFQS4wGc8-_Js5hkW8/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,12560.078125
Resources/3rd Year/6th semester/ML/PPTs/9. Clustering.ppt,https://docs.google.com/presentation/d/1e2V98iQvutDXI-Z_2xLhSuQhcoHU2G0e/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,27208.0
Resources/3rd Year/6th semester/ML/PPTs/5. Classifiaction.pptx,https://docs.google.com/presentation/d/1dJJbtI7ASSRG4UNdkv9aPsGIp9cSgFQ0/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,17643.6201171875
Resources/3rd Year/6th semester/ML/PPTs/4. Ridge and Lasso Regression.ppt,https://docs.google.com/presentation/d/1kn39KdPTg0Htl5xrh2mvnaKTqi4k-pXd/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,8486.0
Resources/3rd Year/6th semester/ML/PPTs/2. Simple Linear Regression.pptx,https://docs.google.com/presentation/d/1K9HfSmkq6MExsYibghm3qYhQ4-H6FZsd/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,1071.39453125
Resources/3rd Year/6th semester/ML/PPTs/3. Simple Linear Regression part 2.pptx,https://docs.google.com/presentation/d/1PnyuyOmclqPESer0TV2I2fzvHfbJ8F8M/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,7572.72265625
Resources/3rd Year/6th semester/ML/Syllabus,,
Resources/3rd Year/6th semester/ML/Syllabus/ML (CS3035) course handout and daywise lesson plan (SPRING 2021-22).pdf,https://drive.google.com/file/d/1_U2R6uKhA6Bg8Z4UcDP7ME3mGNMZI5nc/view?usp=drivesdk,368.130859375
Resources/3rd Year/6th semester/ML/Previous Year Papers,,
Resources/3rd Year/6th semester/ML/Previous Year Papers/ML-CS3035.pdf,https://drive.google.com/file/d/18KYTAKhWLMYQ__LC-szfjEsoVyp4MLhz/view?usp=drivesdk,232.8671875
Resources/3rd Year/6th semester/ML/Previous Year Papers/ML CS3035 Question Bank Part I.docx,https://drive.google.com/file/d/1E7bCjNNwSe2jblcQsnH7ghBTdi40qc_0/view?usp=drivesdk,14.93359375
Resources/3rd Year/6th semester/ML/Previous Year Papers/Machine Learning ( CS-3035)  Autumn  End Semester  Examination  2021.pdf,https://drive.google.com/file/d/19ZUehnPxte5jKL7_tDnyaQjUdhsWXzFP/view?usp=drivesdk,96.17578125
Resources/3rd Year/6th semester/ML/Previous Year Papers/Machine Learning  CS -6234- Mid Sem 2020.pdf,https://drive.google.com/file/d/1Vwh9BkbdxgD4XQAqEPkr5OWnaJPFm0Qi/view?usp=drivesdk,636.3984375
Resources/3rd Year/6th semester/ML/Previous Year Papers/ML_CS3035_2020_Spring_00102954_01 USED.pdf,https://drive.google.com/file/d/1EPK-OQHS52L-WjqdIHGVJLm6QRhSG1w-/view?usp=drivesdk,622.271484375
Resources/3rd Year/6th semester/ML/Previous Year Papers/Machine Learning  CS -3035- Autumn Mid Semester Examination 2022.pdf,https://drive.google.com/file/d/1IQqNZEy32HYRiNZcgQhjb4edM6DtnTYP/view?usp=drivesdk,848.9541015625
Resources/3rd Year/6th semester/ML/Previous Year Papers/Machine Learning ( CS-3035)  Online Spring End Semester  Examination  2021.pdf,https://drive.google.com/file/d/1nwkMYA3HaMdG9jTMtP8Q_FTqvi4rFX0R/view?usp=drivesdk,604.201171875
Resources/3rd Year/6th semester/ML/Previous Year Papers/ML_CS3035_2021_Autumn_00105365_01 USED.doc.pdf,https://drive.google.com/file/d/1RBNCXuXYyiBfOrK_u9ObGjkVixhIOIvC/view?usp=drivesdk,132.59375
Resources/3rd Year/6th semester/ML/Previous Year Papers/Machine Learning CS-6134(For 2018  Admitted Batch) - Spring  End  Semester Examination  2019.pdf,https://drive.google.com/file/d/1zvVQyFulpXcFV3UrQD8TxBe8jdodV5y2/view?usp=drivesdk,611.0390625
Resources/3rd Year/6th semester/ML/Previous Year Papers/CS-3035 MACHINE LEARNING IT CSCE MIDSEM 6TH BTECH Rajdeep.docx,https://docs.google.com/document/d/1bnoFRDPTaFWe22lC8VIBopzTqVArROD4/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,33.478515625
Resources/3rd Year/6th semester/ML/Previous Year Papers/CSE - 3035 MACHINE LEARNING CSSE SEM V.docx,https://docs.google.com/document/d/1KbwiqbRJ5sa9y_f4FEQkSaNPn5WiIOVI/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,35.388671875
Resources/3rd Year/6th semester/ML/Previous Year Papers/CSE - 3035 MACHINE LEARNING CSSE SEM V REPEAT MIDSEM.docx,https://docs.google.com/document/d/1m29qIkqaCQhhkT5GB6OT9q1C6TkoJa79/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,35.39453125
Resources/3rd Year/6th semester/ML/Previous Year Papers/2nd Semester M.Tech  Machine Learning CS-6134(For 2018  Admitted Batch) - Spring  End  Semester Examination  2019.pdf,https://drive.google.com/file/d/1_5n7bSwApRnfetJi3bcDCqEh3Sz_LLRe/view?usp=drivesdk,611.0390625
Resources/3rd Year/6th semester/ML/Previous Year Papers/Everything Combined.pdf,https://drive.google.com/file/d/1jaee3K7nRU_RKZxjzOM-K0n7Fm2J3qGz/view?usp=drivesdk,4651.3798828125
Resources/3rd Year/6th semester/ML/Previous Year Papers/Machine Learning -  Question Bank.docx,https://docs.google.com/document/d/1ZQaZMHRXOaBLPRPbJlLLhUuO8oJg_omb/edit?usp=drivesdk&ouid=104770312176842905967&rtpof=true&sd=true,293.1884765625
Resources/3rd Year/6th semester/ML/Previous Year Papers/ML Question Bank Ans.pdf,https://drive.google.com/file/d/1XoYTbjUR0tbZnG5vzWkrRifU3rC6Jti2/view?usp=drivesdk,2160.087890625
Resources/3rd Year/6th semester/ML/Previous Year Papers/1612416751583_ML CS3035 Question Bank Part I.pdf,https://drive.google.com/file/d/1BA2Ic6a6you5qon6Lx7kORvc3wcVg4Qt/view?usp=drivesdk,50.416015625
Resources/3rd Year/6th semester/IOT,,
Resources/3rd Year/6th semester/IOT/Notes,,
Resources/3rd Year/6th semester/IOT/Notes/IOT Combined.pdf,https://drive.google.com/file/d/1itTUKEd5Hu2vsN4MvIkVHNzjDBpkTDCO/view?usp=drivesdk,18351.1181640625
Resources/3rd Year/6th semester/IOT/PPTs,,
Resources/3rd Year/6th semester/IOT/PPTs/Chapter-1.pdf,https://drive.google.com/file/d/1Vj4hELBJxbBw8Ct1TbDjEo0J6vgBUWoF/view?usp=drivesdk,1476.443359375
Resources/3rd Year/6th semester/IOT/PPTs/Chapter-2.pdf,https://drive.google.com/file/d/1oOxjVtSmQXWA8w1skOPGLCLoPkmPPtcF/view?usp=drivesdk,647.6923828125
Resources/3rd Year/6th semester/IOT/PPTs/Chapter-10.pdf,https://drive.google.com/file/d/16fAhauWnjgSDTZtTvrcwp_hSsw3N_lnb/view?usp=drivesdk,352.009765625
Resources/3rd Year/6th semester/IOT/PPTs/Chapter-8.pdf,https://drive.google.com/file/d/1cBdsYYymC4bUjg2JlQOmcgKUwZZCATPf/view?usp=drivesdk,200.11328125
Resources/3rd Year/6th semester/IOT/PPTs/Chapter-7.pdf,https://drive.google.com/file/d/1iNU5jbzXtEnYRyI6yQRGvgyBwIK9JT_0/view?usp=drivesdk,451.103515625
Resources/3rd Year/6th semester/IOT/PPTs/Chapter-6.pdf,https://drive.google.com/file/d/1rl1G0aMLAMgXZ6DEofNR2EP6xXtt2_5n/view?usp=drivesdk,223.986328125
Resources/3rd Year/6th semester/IOT/PPTs/Chapter-5.pdf,https://drive.google.com/file/d/1P6f4DtspDrPTLZ8NnLnvC0uFQgInlcY9/view?usp=drivesdk,1166.7890625
Resources/3rd Year/6th semester/IOT/PPTs/Chapter-4.pdf,https://drive.google.com/file/d/1z6NqHbuhl7dDiTCw1Wafjhdb3IfpvSP5/view?usp=drivesdk,219.7265625
Resources/3rd Year/6th semester/IOT/PPTs/Chapter-3.pdf,https://drive.google.com/file/d/12t7sudvSNKvNJrMGIEBm0T4ZbwwzQoQS/view?usp=drivesdk,363.8984375
Resources/3rd Year/6th semester/IOT/Book,,
Resources/3rd Year/6th semester/IOT/Book/Internet of Things By Arshdeep Bahga.pdf,https://drive.google.com/file/d/1rWeJtmp9WIcpntGHEWMTQqyyuIfLxaJ3/view?usp=drivesdk,55813.5
Resources/3rd Year/6th semester/IOT/Previous Year Papers,,
Resources/3rd Year/6th semester/IOT/Previous Year Papers/Internet of Things ( IT-3007)  Autumn  End Semester  Examination  2021.docx,https://drive.google.com/file/d/1zwjP_jjK1UbUd9kOHqHbkZnahmi07fhP/view?usp=drivesdk,55.890625
Resources/3rd Year/6th semester/IOT/Previous Year Papers/Internet of Things ( IT-4021)  Autumn  End Semester  Examination  2020.doc,https://drive.google.com/file/d/1U0yF1Sj8wTDamkY9BP7zyxzmRGuVOWMP/view?usp=drivesdk,133.73828125
Resources/3rd Year/6th semester/IOT/Previous Year Papers/Internet of Things  IT -3007â Autumn Mid Semester Examination  2022.pdf,https://drive.google.com/file/d/1gvMz7LNXPtDHhzLS1F23fDFOnH-8Srsd/view?usp=drivesdk,582.3291015625
Resources/3rd Year/6th semester/IOT/Previous Year Papers/Internet of Things ( IT-3007)  Online Spring End Semester  Examination  2021.pdf,https://drive.google.com/file/d/1AsoKgvwS2uaLkr_vlAiqKnbj6yPVngQO/view?usp=drivesdk,326.88671875
